Row ID,Order ID,Order Date,Ship Mode,Customer ID,Country/Region,City,State/Province,Postal Code,Division,Region,Product ID,Product Name,Sales,Units,Gross Profit,Cost,Factory,Latitude,Longitude,Region_Lat,Region_Lon,distance,base_days,lead_time_days,Ship Date
25,US-2021-118192-CHO-SCR-58000,13-01-2024,Standard Class,118192,United States,Newark,Ohio,43055,Chocolate,Atlantic,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,7.2,2,5,2.2,Lot's O' Nuts,32.881893,-111.768036,39,-76,2029.96199,6.824279937,12,25-01-2024
26,US-2021-162775-CHO-TRI-54000,13-01-2024,Second Class,162775,United States,Bossier City,Louisiana,71111,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,Wicked Choccy's,32.076176,-81.088371,30,-90,546.155462,4.570351923,5,18-01-2024
27,US-2021-162775-OTH-KAZ-38000,13-01-2024,Second Class,162775,United States,Bossier City,Louisiana,71111,Other,Gulf,OTH-KAZ-38000,Kazookles,9.75,3,0.75,9,The Other Factory,35.1175,-89.971107,30,-90,353.3429346,3.399347564,5,18-01-2024
28,US-2021-162775-CHO-MIL-31000,13-01-2024,Second Class,162775,United States,Bossier City,Louisiana,71111,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,Wicked Choccy's,32.076176,-81.088371,30,-90,546.155462,4.028468877,6,19-01-2024
29,US-2021-118192-CHO-SCR-58000,13-01-2024,Standard Class,118192,United States,Newark,Ohio,43055,Chocolate,Atlantic,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,25.2,7,17.5,7.7,Lot's O' Nuts,32.881893,-111.768036,39,-76,2029.96199,7.369658275,13,26-01-2024
30,US-2021-162775-CHO-MIL-31000,13-01-2024,Second Class,162775,United States,Bossier City,Louisiana,71111,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,19.5,6,12.66,6.84,Wicked Choccy's,32.076176,-81.088371,30,-90,546.155462,3.092900825,4,17-01-2024
31,US-2021-157147-CHO-NUT-13000,13-01-2024,Standard Class,157147,United States,San Francisco,California,94109,Chocolate,Pacific,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,17.45,5,12.45,5,Lot's O' Nuts,32.881893,-111.768036,37,-120,545.5075533,7.430179408,8,21-01-2024
32,US-2021-162775-CHO-SCR-58000,13-01-2024,Second Class,162775,United States,Bossier City,Louisiana,71111,Chocolate,Gulf,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,21.6,6,15,6.6,Lot's O' Nuts,32.881893,-111.768036,30,-90,1295.276468,3.341048247,7,20-01-2024
33,US-2021-149524-OTH-GUM-21000,14-01-2024,First Class,149524,United States,Philadelphia,Pennsylvania,19140,Other,Atlantic,OTH-GUM-21000,Wonka Gum,5,4,2.6,2.4,Secret Factory,41.446333,-90.565487,39,-76,785.2031668,1.130103186,4,18-01-2024
34,US-2021-103366-CHO-SCR-58000,15-01-2024,First Class,103366,United States,Roswell,Georgia,30076,Chocolate,Gulf,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,18,5,12.5,5.5,Lot's O' Nuts,32.881893,-111.768036,30,-90,1295.276468,2.897771075,7,22-01-2024
35,US-2021-115791-CHO-TRI-54000,16-01-2024,Second Class,115791,United States,Philadelphia,Pennsylvania,19134,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,22.5,6,14.7,7.8,Wicked Choccy's,32.076176,-81.088371,39,-76,556.7755484,4.931264066,6,22-01-2024
36,US-2021-115791-CHO-FUD-51000,16-01-2024,Second Class,115791,United States,Philadelphia,Pennsylvania,19134,Chocolate,Atlantic,CHO-FUD-51000,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,Lot's O' Nuts,32.881893,-111.768036,39,-76,2029.96199,4.616794696,8,24-01-2024
37,US-2021-115791-CHO-TRI-54000,16-01-2024,Second Class,115791,United States,Philadelphia,Pennsylvania,19134,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,Wicked Choccy's,32.076176,-81.088371,39,-76,556.7755484,3.609227538,5,21-01-2024
38,US-2021-115791-CHO-SCR-58000,16-01-2024,Second Class,115791,United States,Philadelphia,Pennsylvania,19134,Chocolate,Atlantic,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,Lot's O' Nuts,32.881893,-111.768036,39,-76,2029.96199,3.195344228,7,23-01-2024
39,US-2021-123477-CHO-NUT-13000,18-01-2024,Second Class,123477,United States,Springfield,Oregon,97477,Chocolate,Pacific,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,13.96,4,9.96,4,Lot's O' Nuts,32.881893,-111.768036,37,-120,545.5075533,4.368466053,7,25-01-2024
40,US-2021-146591-CHO-TRI-54000,19-01-2024,First Class,146591,United States,Scottsdale,Arizona,85254,Chocolate,Pacific,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,18.75,5,12.25,6.5,Wicked Choccy's,32.076176,-81.088371,37,-120,2223.527948,1.880304987,7,26-01-2024
41,US-2021-146591-CHO-FUD-51000,19-01-2024,First Class,146591,United States,Scottsdale,Arizona,85254,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,36,10,24,12,Lot's O' Nuts,32.881893,-111.768036,37,-120,545.5075533,1.24407647,4,23-01-2024
42,US-2021-146591-CHO-TRI-54000,19-01-2024,First Class,146591,United States,Scottsdale,Arizona,85254,Chocolate,Pacific,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,18.75,5,12.25,6.5,Wicked Choccy's,32.076176,-81.088371,37,-120,2223.527948,1.99035382,7,26-01-2024
43,US-2021-146591-CHO-FUD-51000,19-01-2024,First Class,146591,United States,Scottsdale,Arizona,85254,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,14.4,4,9.6,4.8,Lot's O' Nuts,32.881893,-111.768036,37,-120,545.5075533,1.068777042,3,22-01-2024
44,US-2021-147627-CHO-TRI-54000,20-01-2024,Standard Class,147627,United States,Jonesboro,Arkansas,72401,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,Wicked Choccy's,32.076176,-81.088371,30,-90,546.155462,8.637281608,10,30-01-2024
45,US-2021-167927-CHO-FUD-51000,20-01-2024,Standard Class,167927,United States,Westland,Michigan,48185,Chocolate,Interior,CHO-FUD-51000,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6,Lot's O' Nuts,32.881893,-111.768036,40,-95,1050.650865,6.035119926,10,30-01-2024
46,US-2021-167927-CHO-FUD-51000,20-01-2024,Standard Class,167927,United States,Westland,Michigan,48185,Chocolate,Interior,CHO-FUD-51000,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6,Lot's O' Nuts,32.881893,-111.768036,40,-95,1050.650865,7.650089137,10,30-01-2024
47,US-2021-147627-CHO-MIL-31000,20-01-2024,Standard Class,147627,United States,Jonesboro,Arkansas,72401,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,13,4,8.44,4.56,Wicked Choccy's,32.076176,-81.088371,30,-90,546.155462,6.246844304,8,28-01-2024
48,US-2021-148614-CHO-MIL-31000,20-01-2024,Standard Class,148614,United States,Los Angeles,California,90049,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,Wicked Choccy's,32.076176,-81.088371,37,-120,2223.527948,7.080272085,11,31-01-2024
49,US-2021-167927-CHO-FUD-51000,20-01-2024,Standard Class,167927,United States,Westland,Michigan,48185,Chocolate,Interior,CHO-FUD-51000,Wonka Bar - Fudge Mallows,14.4,4,9.6,4.8,Lot's O' Nuts,32.881893,-111.768036,40,-95,1050.650865,7.186841117,10,30-01-2024
50,US-2021-147627-CHO-TRI-54000,20-01-2024,Standard Class,147627,United States,Jonesboro,Arkansas,72401,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,26.25,7,17.15,9.1,Wicked Choccy's,32.076176,-81.088371,30,-90,546.155462,5.739417822,7,27-01-2024
51,US-2021-147627-CHO-SCR-58000,20-01-2024,Standard Class,147627,United States,Jonesboro,Arkansas,72401,Chocolate,Gulf,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,Lot's O' Nuts,32.881893,-111.768036,30,-90,1295.276468,8.878338511,11,31-01-2024
52,US-2021-167927-CHO-NUT-13000,20-01-2024,Standard Class,167927,United States,Westland,Michigan,48185,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3,Lot's O' Nuts,32.881893,-111.768036,40,-95,1050.650865,8.100531293,12,01-02-2024
53,US-2021-167927-CHO-MIL-31000,20-01-2024,Standard Class,167927,United States,Westland,Michigan,48185,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,16.25,5,10.55,5.7,Wicked Choccy's,32.076176,-81.088371,40,-95,948.1977795,8.757995766,10,30-01-2024
54,US-2021-147774-CHO-NUT-13000,20-01-2024,Standard Class,147774,United States,Smyrna,Tennessee,37167,Chocolate,Gulf,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,3.49,1,2.49,1,Lot's O' Nuts,32.881893,-111.768036,30,-90,1295.276468,8.579309402,13,02-02-2024
55,US-2021-167927-CHO-TRI-54000,20-01-2024,Standard Class,167927,United States,Westland,Michigan,48185,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,18.75,5,12.25,6.5,Wicked Choccy's,32.076176,-81.088371,40,-95,948.1977795,7.391599915,11,31-01-2024
56,US-2021-147627-CHO-FUD-51000,20-01-2024,Standard Class,147627,United States,Jonesboro,Arkansas,72401,Chocolate,Gulf,CHO-FUD-51000,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6,Lot's O' Nuts,32.881893,-111.768036,30,-90,1295.276468,8.68749694,10,30-01-2024
57,US-2021-148614-CHO-SCR-58000,20-01-2024,Standard Class,148614,United States,Los Angeles,California,90049,Chocolate,Pacific,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,7.2,2,5,2.2,Lot's O' Nuts,32.881893,-111.768036,37,-120,545.5075533,5.353970008,8,28-01-2024
58,US-2021-167927-CHO-FUD-51000,20-01-2024,Standard Class,167927,United States,Westland,Michigan,48185,Chocolate,Interior,CHO-FUD-51000,Wonka Bar - Fudge Mallows,3.6,1,2.4,1.2,Lot's O' Nuts,32.881893,-111.768036,40,-95,1050.650865,5.78393145,8,28-01-2024
59,US-2021-167927-CHO-MIL-31000,20-01-2024,Standard Class,167927,United States,Westland,Michigan,48185,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,Wicked Choccy's,32.076176,-81.088371,40,-95,948.1977795,5.180909156,6,26-01-2024
60,US-2021-147627-CHO-FUD-51000,20-01-2024,Standard Class,147627,United States,Jonesboro,Arkansas,72401,Chocolate,Gulf,CHO-FUD-51000,Wonka Bar - Fudge Mallows,25.2,7,16.8,8.4,Lot's O' Nuts,32.881893,-111.768036,30,-90,1295.276468,6.301321323,9,29-01-2024
61,US-2021-110422-CHO-TRI-54000,21-01-2024,Second Class,110422,United States,Miami,Florida,33180,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,Wicked Choccy's,32.076176,-81.088371,30,-90,546.155462,3.777354579,7,28-01-2024
62,CA-2021-115238-CHO-FUD-51000,21-01-2024,Standard Class,115238,Canada,Toronto,Ontario,M7A,Chocolate,Atlantic,CHO-FUD-51000,Wonka Bar - Fudge Mallows,18,5,12,6,Lot's O' Nuts,32.881893,-111.768036,39,-76,2029.96199,6.085396127,9,30-01-2024
63,CA-2021-115238-CHO-MIL-31000,21-01-2024,Standard Class,115238,Canada,Toronto,Ontario,M7A,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,3.25,1,2.11,1.14,Wicked Choccy's,32.076176,-81.088371,39,-76,556.7755484,8.314950037,10,31-01-2024
64,CA-2021-115238-CHO-TRI-54000,21-01-2024,Standard Class,115238,Canada,Toronto,Ontario,M7A,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,18.75,5,12.25,6.5,Wicked Choccy's,32.076176,-81.088371,39,-76,556.7755484,6.427013307,8,29-01-2024
65,CA-2021-115238-CHO-FUD-51000,21-01-2024,Standard Class,115238,Canada,Toronto,Ontario,M7A,Chocolate,Atlantic,CHO-FUD-51000,Wonka Bar - Fudge Mallows,3.6,1,2.4,1.2,Lot's O' Nuts,32.881893,-111.768036,39,-76,2029.96199,6.123738039,12,02-02-2024
66,CA-2021-115238-CHO-MIL-31000,21-01-2024,Standard Class,115238,Canada,Toronto,Ontario,M7A,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,32.5,10,21.1,11.4,Wicked Choccy's,32.076176,-81.088371,39,-76,556.7755484,7.170784333,8,29-01-2024
67,US-2021-146997-CHO-TRI-54000,23-01-2024,Standard Class,146997,United States,Lafayette,Indiana,47905,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,Wicked Choccy's,32.076176,-81.088371,40,-95,948.1977795,5.5636969,9,01-02-2024
68,US-2021-102645-CHO-FUD-51000,23-01-2024,Standard Class,102645,United States,Las Vegas,Nevada,89115,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,21.6,6,14.4,7.2,Lot's O' Nuts,32.881893,-111.768036,37,-120,545.5075533,8.208787923,10,02-02-2024
69,US-2021-167997-CHO-TRI-54000,26-01-2024,First Class,167997,United States,Rapid City,South Dakota,57701,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,Wicked Choccy's,32.076176,-81.088371,40,-95,948.1977795,1.149101287,4,30-01-2024
70,US-2021-155502-CHO-MIL-31000,26-01-2024,Standard Class,155502,United States,Alexandria,Virginia,22304,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,Wicked Choccy's,32.076176,-81.088371,30,-90,546.155462,8.947547746,12,07-02-2024
71,US-2021-155502-CHO-MIL-31000,26-01-2024,Standard Class,155502,United States,Alexandria,Virginia,22304,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,Wicked Choccy's,32.076176,-81.088371,30,-90,546.155462,8.088979077,11,06-02-2024
72,US-2021-167997-CHO-TRI-54000,26-01-2024,First Class,167997,United States,Rapid City,South Dakota,57701,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,Wicked Choccy's,32.076176,-81.088371,40,-95,948.1977795,1.397431363,2,28-01-2024
73,US-2021-155502-CHO-MIL-31000,26-01-2024,Standard Class,155502,United States,Alexandria,Virginia,22304,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,Wicked Choccy's,32.076176,-81.088371,30,-90,546.155462,5.022088468,7,02-02-2024
74,US-2021-155502-CHO-TRI-54000,26-01-2024,Standard Class,155502,United States,Alexandria,Virginia,22304,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,Wicked Choccy's,32.076176,-81.088371,30,-90,546.155462,8.261845714,10,05-02-2024
75,US-2021-155502-CHO-MIL-31000,26-01-2024,Standard Class,155502,United States,Alexandria,Virginia,22304,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,26,8,16.88,9.12,Wicked Choccy's,32.076176,-81.088371,30,-90,546.155462,7.827429375,9,04-02-2024
76,US-2021-155502-CHO-FUD-51000,26-01-2024,Standard Class,155502,United States,Alexandria,Virginia,22304,Chocolate,Gulf,CHO-FUD-51000,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,Lot's O' Nuts,32.881893,-111.768036,30,-90,1295.276468,7.916028672,11,06-02-2024
77,US-2021-155502-CHO-MIL-31000,26-01-2024,Standard Class,155502,United States,Alexandria,Virginia,22304,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,42.25,13,27.43,14.82,Wicked Choccy's,32.076176,-81.088371,30,-90,546.155462,8.085081387,9,04-02-2024
78,US-2021-117163-CHO-NUT-13000,27-01-2024,Standard Class,117163,United States,San Diego,California,92037,Chocolate,Pacific,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3,Lot's O' Nuts,32.881893,-111.768036,37,-120,545.5075533,5.296178607,7,03-02-2024
79,US-2021-117163-CHO-TRI-54000,27-01-2024,Standard Class,117163,United States,San Diego,California,92037,Chocolate,Pacific,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,15,4,9.8,5.2,Wicked Choccy's,32.076176,-81.088371,37,-120,2223.527948,6.433862914,13,09-02-2024
80,US-2021-117163-CHO-SCR-58000,27-01-2024,Standard Class,117163,United States,San Diego,California,92037,Chocolate,Pacific,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,3.6,1,2.5,1.1,Lot's O' Nuts,32.881893,-111.768036,37,-120,545.5075533,5.463476238,6,02-02-2024
81,US-2021-100328-CHO-MIL-31000,28-01-2024,Standard Class,100328,United States,New York City,New York,10024,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,3.25,1,2.11,1.14,Wicked Choccy's,32.076176,-81.088371,39,-76,556.7755484,8.452413704,11,08-02-2024
82,US-2021-134103-CHO-NUT-13000,30-01-2024,Standard Class,134103,United States,Detroit,Michigan,48234,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2,Lot's O' Nuts,32.881893,-111.768036,40,-95,1050.650865,7.493192507,10,09-02-2024
83,US-2021-134103-CHO-NUT-13000,30-01-2024,Standard Class,134103,United States,Detroit,Michigan,48234,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2,Lot's O' Nuts,32.881893,-111.768036,40,-95,1050.650865,6.323592099,9,08-02-2024
84,US-2021-115161-CHO-MIL-31000,31-01-2024,First Class,115161,United States,Mission Viejo,California,92691,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,Wicked Choccy's,32.076176,-81.088371,37,-120,2223.527948,1.127116701,7,07-02-2024
85,US-2021-140795-CHO-SCR-58000,01-02-2024,First Class,140795,United States,Green Bay,Wisconsin,54302,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,21.6,6,15,6.6,Lot's O' Nuts,32.881893,-111.768036,40,-95,1050.650865,1.621964643,4,05-02-2024
86,US-2021-123400-CHO-MIL-31000,02-02-2024,Standard Class,123400,United States,Saint Petersburg,Florida,33710,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,Wicked Choccy's,32.076176,-81.088371,30,-90,546.155462,6.300733288,8,10-02-2024
87,US-2021-139857-CHO-FUD-51000,02-02-2024,Standard Class,139857,United States,San Diego,California,92037,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,18,5,12,6,Lot's O' Nuts,32.881893,-111.768036,37,-120,545.5075533,7.918424713,9,11-02-2024
88,US-2021-123400-CHO-TRI-54000,02-02-2024,Standard Class,123400,United States,Saint Petersburg,Florida,33710,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,18.75,5,12.25,6.5,Wicked Choccy's,32.076176,-81.088371,30,-90,546.155462,7.550229885,9,11-02-2024
89,US-2021-111059-CHO-NUT-13000,03-02-2024,Second Class,111059,United States,Seattle,Washington,98105,Chocolate,Pacific,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3,Lot's O' Nuts,32.881893,-111.768036,37,-120,545.5075533,4.774425485,8,11-02-2024
